ID	parentID	basionymID	status	rank	scientificName	authorship	nameStatus	nameReferenceID	namePublishedInYear	namePublishedInPage	namePublishedInPageLink	referenceID	scrutinizer	scrutinizerDate	extinct	temporalRangeStart	temporalRangeEnd	remarks
ZOBO00034560	ZOBO00034558		accepted	subspecies	Paravespa grandis caucasica	(Kok., 1912)		ZOBO00010025					Gusenleitner J.	2011-11	f			
ZOBO00034545	xFG		accepted	species	Paravespa mima	Giordani Soika, 1960		ZOBO00023971					Gusenleitner J.	2011-11	f			
ZOBO00034561	xFG		accepted	species	Paravespa mimetica	(Schulthess, 1923)		ZOBO00018085					Gusenleitner J.	2011-11	f			
ZOBO00034546	xFG		accepted	species	Paravespa minutepunctata	Giordani Soika, 1960		ZOBO00023971					Gusenleitner J.	2011-11	f			
ZOBO00034547	xFG		accepted	species	Paravespa nairobiensis	(Giordani Soika, 1935)		ZOBO00023971					Gusenleitner J.	2011-11	f			
ZOBO00034548	xFG		accepted	species	Paravespa nigrifrons	Giordani Soika, 1960		ZOBO00023971					Gusenleitner J.	2011-11	f			
ZOBO00034549	xFG		accepted	species	Paravespa occidentalis	Giordani Soika, 1987		ZOBO00023971					Gusenleitner J.	2011-11	f			
ZOBO00034550	xFG		accepted	species	Paravespa pretoriensis	(Giordani Soika, 1935)		ZOBO00023971					Gusenleitner J.	2011-11	f			
ZOBO00034562	xFG		accepted	species	Paravespa quadricolor	(Moravitz, 1885)		ZOBO00018085					Gusenleitner J.	2011-11	f			
ZOBO00034563	xFG		accepted	species	Paravespa rex	(Schulthess, 1923)		ZOBO00010025					Gusenleitner J.	2011-11	f			
ZOBO00034552	ZOBO00163349		accepted	subspecies	Paravespa spinigera ditior	(Giordani Soika, 1935)		ZOBO00023971					Gusenleitner J.	2011-11	f			
ZOBO00154032	ZOBO00163349		accepted	subspecies	Paravespa spinigera empeyi	Giordani Soika, 1983		ZOBO00023971					Gusenleitner J.	2011-11	f			
ZOBO00154033	ZOBO00163349		accepted	subspecies	Paravespa spinigera maculata	(Schulthess, 1914)		ZOBO00023971					Gusenleitner J.	2011-11	f			
ZOBO00034551	ZOBO00163349		accepted	subspecies	Paravespa spinigera spinigera	(Schulthess, 1914)		ZOBO00023971					Gusenleitner J.	2011-11	f			
ZOBO00153516	xEN		accepted	species	Paravespula germanica	(F.)		ZOBO00010007					Gusenleitner J.	2011-11	f			
ZOBO00125820	ZOBO00163352		accepted	subspecies	Paravespula rufa schrenckii	(Rad.)		ZOBO00032251					Gusenleitner J.	2011-11	f			
ZOBO00125570	xEN		accepted	species	Paravespula vulgaris	(Linnaeus)		ZOBO00010007					Gusenleitner J.	2011-11	f			
ZOBO00125092	xW		accepted	species	Pareumenes artifex	(Smith)		ZOBO00032940					Gusenleitner J.	2011-11	f			
ZOBO00034572	xW		accepted	species	Pareumenes enslini	(Schulthess, 1931)		ZOBO00034572					Gusenleitner J.	2011-11	f			
ZOBO00125361	xW		accepted	species	Pareumenes eximius	(Smith)		ZOBO00032940					Gusenleitner J.	2011-11	f			
ZOBO00034573	xW		accepted	species	Pareumenes imperatrix	(Smith, 1857)		ZOBO00032124					Gusenleitner J.	2011-11	f			
ZOBO00034575	xW		provisionally accepted	species	Pareumenes intermedius	(de Saussure, 1852)		ZOBO00034572					Gusenleitner J.	2011-11	f			
ZOBO00125387	xW		accepted	species	Pareumenes laboriosus	(Smith)		ZOBO00032124					Gusenleitner J.	2011-11	f			
ZOBO00034576	xW		accepted	species	Pareumenes laevis	(Schulthess, 1903)		ZOBO00023971					Gusenleitner J.	2011-11	f			
ZOBO00034577	xW		accepted	species	Pareumenes laminatus	(Kriechbaumer, 1879)		ZOBO00010060					Gusenleitner J.	2011-11	f			
ZOBO00034578	ZOBO00034577		accepted	subspecies	Pareumenes laminatus palaestinensis	Giordani Soika, 1952		ZOBO00018085					Gusenleitner J.	2011-11	f			
ZOBO00125388	xW		accepted	species	Pareumenes medianus	(Smith)		ZOBO00032124					Gusenleitner J.	2011-11	f			
ZOBO00034579	xW		accepted	species	Pareumenes mochii	Giordani Soika, 1938		ZOBO00023971					Gusenleitner J.	2011-11	f			
ZOBO00125079	xW		accepted	species	Pareumenes multicolor	Giordani Soika		ZOBO00032940					Gusenleitner J.	2011-11	f			
ZOBO00125362	xW		accepted	species	Pareumenes pictifrons	(Smith)		ZOBO00032940					Gusenleitner J.	2011-11	f			
ZOBO00125390	xW		accepted	species	Pareumenes polillensis	Giordani Soika		ZOBO00032124					Gusenleitner J.	2011-11	f			
ZOBO00034583	xW		accepted	species	Pareumenes pullatus	(Smith, 1863)		ZOBO00032124					Gusenleitner J.	2011-11	f			
ZOBO00034584	xW		accepted	species	Pareumenes punctatissimus	Giordani Soika, 1987		ZOBO00023971					Gusenleitner J.	2011-11	f			
ZOBO00125391	xW		accepted	species	Pareumenes samariensis	Giordani Soika		ZOBO00032124					Gusenleitner J.	2011-11	f			
ZOBO00034593	xW		accepted	species	Pareumenes sansibaricus	(Schulz, 1905)		ZOBO00023971					Gusenleitner J.	2011-11	f			
ZOBO00034595	ZOBO00034593		accepted	subspecies	Pareumenes sansibaricus flavopetiolatus	Giordani Soika, 1979		ZOBO00023971					Gusenleitner J.	2011-11	f			
ZOBO00034596	ZOBO00034593		accepted	subspecies	Pareumenes sansibaricus laetifasciatus	Giordani Soika, 1944		ZOBO00023971					Gusenleitner J.	2011-11	f			
ZOBO00034597	ZOBO00034593		accepted	subspecies	Pareumenes sansibaricus laterorufofasciatus	Giordani Soika, 1944		ZOBO00023971					Gusenleitner J.	2011-11	f			
ZOBO00034598	ZOBO00034593		accepted	subspecies	Pareumenes sansibaricus occidentalis	Giordani Soika, 1944		ZOBO00023971					Gusenleitner J.	2011-11	f			
ZOBO00154046	ZOBO00034593		accepted	subspecies	Pareumenes sansibaricus sansibaricus	(Schulz, 1905)		ZOBO00023971					Gusenleitner J.	2011-11	f			
ZOBO00125389	xW		accepted	species	Pareumenes sublaevis	(Smith)		ZOBO00032124					Gusenleitner J.	2011-11	f			
ZOBO00125104	xW		accepted	species	Pareumenes vindex	(Smith)		ZOBO00032940					Gusenleitner J.	2011-11	f			
ZOBO00125363	xW		accepted	species	Pareumenes volatilis	(Smith)		ZOBO00032940					Gusenleitner J.	2011-11	f			
ZOBO00034604	xB2		accepted	species	Parifodynerus alariformis	(de Saussure, 1856)		ZOBO00032027					Gusenleitner J.	2011-11	f			
ZOBO00034605	xB2		accepted	species	Parifodynerus parificus	Giordani Soika, 1961		ZOBO00032027					Gusenleitner J.	2011-11	f			
ZOBO00125528	xCA		provisionally accepted	species	Parodontodynerus ephippium	(Germ.)		ZOBO00010025					Gusenleitner J.	2011-11	f			
ZOBO00125532	xCA		accepted	species	Parodontodynerus eremicus	(Giordani Soika)		ZOBO00010025					Gusenleitner J.	2011-11	f			
ZOBO00034610	xHY		accepted	species	Parodynerus bicinctus	(Fabricius, 1781)		ZOBO00034610					Gusenleitner J.	2011-11	f			
ZOBO00034611	xHY		accepted	species	Parodynerus cheesmani	Giordani Soika, 1957		ZOBO00034610					Gusenleitner J.	2011-11	f			
ZOBO00034612	xHY		accepted	species	Parodynerus mediocinctus	(Turner, 1919)		ZOBO00034610					Gusenleitner J.	2011-11	f			
ZOBO00034613	ZOBO00034612		accepted	subspecies	Parodynerus mediocinctus teveunensis	Giordani Soika, 1971		ZOBO00032850					Gusenleitner J.	2011-11	f			
ZOBO00034614	xHY		accepted	species	Parodynerus nigropetiolatus	Giordani Soika, 1957		ZOBO00034610					Gusenleitner J.	2011-11	f			
ZOBO00034615	ZOBO00034614		accepted	subspecies	Parodynerus nigropetiolatus nigerrimus	Giordani Soika, 1971		ZOBO00032850					Gusenleitner J.	2011-11	f			
ZOBO00034616	xHY		accepted	species	Parodynerus quodi	(Yach., 1908)		ZOBO00034610					Gusenleitner J.	2011-11	f			
ZOBO00034617	ZOBO00034616		accepted	subspecies	Parodynerus quodi hebridensis	Giordani Soika, 1957		ZOBO00034610					Gusenleitner J.	2011-11	f			
ZOBO00034757	x3C		accepted	species	Pseudepipona tripunctata	(Fabricius, 1787)		ZOBO00034721					Gusenleitner J.	2011-11	f			
ZOBO00125806	ZOBO00034616		provisionally accepted	subspecies	Parodynerus quodi iasafui	Cheesm.		ZOBO00032748					Gusenleitner J.	2011-11	f			
ZOBO00034618	ZOBO00034616		provisionally accepted	subspecies	Parodynerus quodi iasafui	Giordani Soika, 1957		ZOBO00034610					Gusenleitner J.	2011-11	f			
