col:taxonID	col:sourceID	col:areaID	col:area	col:gazetteer	col:status	col:referenceID	col:remarks
ZOBO00036310			BRA	text	native		
ZOBO00149742			NPL	text	native		
ZOBO00010018			AUT GRC IRN ITA SVN TUR	text	native		
ZOBO00010014			AUT BGR FRA GRC HRV HUN IRN ITA JOR KAZ TUR	text	native		
ZOBO00010015			AUT AZE CHE CYP EGY ESP FRA GRC HRV IRN ITA JOR KAZ KGZ MAR MLT PAK PRT SYR TUN TUR	text	native		
ZOBO00010016			AUT CZE DEU FRA GRC HRV HUN ITA KAZ	text	native		
ZOBO00010017			AUT GRC IRN ITA	text	native		
ZOBO00036341			PER	text	native		
ZOBO00036367			ARG BRA	text	native		
ZOBO00036328			ECU	text	native		
ZOBO00063631			ARG BRA	text	native		
ZOBO00063492			GUF PER	text	native		
ZOBO00023966			Aut AUT DEU ESP FRA GRC HRV HUN ITA KAZ KGZ PRT RUS TUR	text	native		
ZOBO00018082			AUT AZE CHE CZE DEU FRA GRC ITA LIE SVK	text	native		
ZOBO00036342			IRN KAZ	text	native		
ZOBO00018083			AUT ESP FRA ITA MAR PRT	text	native		
ZOBO00037409			CHN TWN	text	native		
ZOBO00040695			ESP	text	native		
ZOBO00043934			THA	text	native		
ZOBO00039726			TUR	text	native		
ZOBO00039731			KEN	text	native		
ZOBO00039732			SDN	text	native		
ZOBO00039733			ZAF	text	native		
ZOBO00039776			TGO	text	native		
ZOBO00037354			KEN	text	native		
ZOBO00031730			ESP	text	native		
ZOBO00018091			AUT BGR CYP ESP FRA GRC HRV HUN ITA KAZ MAR MLT PRT TUN TUR	text	native		
ZOBO00010038			AUT DEU ESP FRA GRC HUN ITA TUR	text	native		
ZOBO00032434			TUR	text	native		
ZOBO00032437			IND	text	native		
ZOBO00032439			TZA ZMB	text	native		
ZOBO00032425			CMR	text	native		
ZOBO00032426			COD TZA	text	native		
ZOBO00032428			CHL CIV CMR COD ETH KEN NGA SEN TGO UGA ZAF ZMB	text	native		
ZOBO00032429			KEN	text	native		
ZOBO00032430			CMR	text	native		
ZOBO00032414			COD ETH KEN MWI NAM TZA ZAF ZMB	text	native		
ZOBO00032418			TUR	text	native		
ZOBO00032417			YEM	text	native		
ZOBO00032420			PHL	text	native		
ZOBO00032421			ZAF	text	native		
ZOBO00032403			MDG	text	native		
ZOBO00032404			GRC TUR	text	native		
ZOBO00032406			GRC	text	native		
ZOBO00032411			AGO CIV CMR COD ETH GIN KEN NER NGA SEN UGA ZAF	text	native		
ZOBO00032412			TZA	text	native		
ZOBO00032387			NPL	text	native		
ZOBO00032388			IND NPL	text	native		
ZOBO00032384			ESP	text	native		
ZOBO00032391			CHL CMR KEN MLI SEN TGO TZA	text	native		
ZOBO00032390			ZAF	text	native		
ZOBO00032381			KEN	text	native		
ZOBO00032380			CMR	text	native		
ZOBO00032371			MAR TUN	text	native		
ZOBO00032370			IND THA UZB	text	native		
ZOBO00032368			GRC	text	native		
ZOBO00032375			SEN	text	native		
ZOBO00032374			KEN ZMB	text	native		
ZOBO00032372			EGY	text	native		
ZOBO00032361			IDN	text	native		
ZOBO00032363			IDN	text	native		
ZOBO00032355			CHN IDN LAO MYS THA TWN	text	native		
ZOBO00032357			IDN LAO MYS THA	text	native		
ZOBO00032352			KAZ TKM	text	native		
ZOBO00032346			COD	text	native		
ZOBO00032347			CIV CMR	text	native		
ZOBO00032349			ETH ZAF	text	native		
ZOBO00032343			MAR TUN	text	native		
ZOBO00032342			CMR	text	native		
ZOBO00032344			CMR KEN MLI	text	native		
ZOBO00032442			NAM	text	native		
ZOBO00032443			ZAF ZWE	text	native		
ZOBO00032448			NPL	text	native		
ZOBO00032452			KEN	text	native		
ZOBO00032453			ZAF	text	native		
ZOBO00032484			KAZ	text	native		
ZOBO00032483			KAZ	text	native		
ZOBO00032485			ZAF	text	native		
ZOBO00032479			COD ETH KEN MWI TZA UGA ZAF ZMB	text	native		
ZOBO00032475			MLI	text	native		
ZOBO00032477			TUR	text	native		
ZOBO00032474			ZMB	text	native		
ZOBO00032467			ETH KEN UGA ZAF	text	native		
ZOBO00032469			ZAF	text	native		
ZOBO00032470			ZAF	text	native		
ZOBO00032465			NPL	text	native		
ZOBO00032463			MDG	text	native		
ZOBO00032464			THA	text	native		
ZOBO00032461			NGA ZAF	text	native		
ZOBO00032460			CIV COD ETH KEN NGA UGA	text	native		
ZOBO00032456			MAR TUN	text	native		
ZOBO00032457			IDN THA	text	native		
ZOBO00032455			ZAF	text	native		
ZOBO00033926			PER	text	native		
ZOBO00033927			BRA	text	native		
ZOBO00033932			PER	text	native		
ZOBO00033891			ARG BRA	text	native		
ZOBO00033900			ARG	text	native		
ZOBO00033901			BRA	text	native		
ZOBO00033898			BRA GUF PER	text	native		
ZOBO00033912			GUF PER	text	native		
ZOBO00033913			GUF PER	text	native		
ZOBO00033908			BRA	text	native		
ZOBO00033909			BRA	text	native		
ZOBO00033920			ARG GUF	text	native		
ZOBO00033921			PER	text	native		
ZOBO00033885			USA	text	native		
ZOBO00033889			ARG BRA COL GUF MEX PAN PER	text	native		
ZOBO00033883			NAM PER ZAF	text	native		
ZOBO00031718			IDN KHM MYS PNG THA	text	native		
ZOBO00035011			GRC ITA MLT	text	native		
ZOBO00031719			CYP GRC JOR TUR	text	native		
ZOBO00035013			ARE IRN	text	native		
ZOBO00035000			CIV CMR GIN GMB KEN MLI SDN TGO TZA	text	native		
ZOBO00035002			BWA ETH KEN MOZ MWI NAM TZA ZMB	text	native		
ZOBO00035005			IDN PNG	text	native		
ZOBO00035007			IND	text	native		
ZOBO00035008			IDN	text	native		
ZOBO00034988			THA	text	native		
ZOBO00034989			MRT YEM	text	native		
ZOBO00034983			PHL	text	native		
ZOBO00034982			PNG	text	native		
ZOBO00034984			IDN PHL TWN	text	native		
ZOBO00034985			PHL	text	native		
ZOBO00035018			IND KHM NPL SYC THA	text	native		
ZOBO00035017			CHN KOR TWN	text	native		
ZOBO00036604			CRI	text	native		
ZOBO00036605			COL GUF PRY	text	native		
ZOBO00036611			BOL PER	text	native		
ZOBO00036613			BRA GUF PER	text	native		
ZOBO00036614			PER	text	native		
ZOBO00036609			GUF PER	text	native		
ZOBO00036658			BOL GUF PER	text	native		
ZOBO00036661			BOL BRA CRI GUF MEX PAN PER TTO	text	native		
ZOBO00036659			GTM MEX	text	native		
ZOBO00036663			ARG PRY	text	native		
ZOBO00036668			PER	text	native		
ZOBO00036667			PER	text	native		
ZOBO00036672			ARG BRA GUF PRY VEN	text	native		
ZOBO00036671			ARG BRA PRY	text	native		
ZOBO00036674			MEX	text	native		
ZOBO00036675			AUT ECU PER	text	native		
ZOBO00036678			PER	text	native		
ZOBO00036677			BOL GUF PER	text	native		
ZOBO00036656			PER	text	native		
ZOBO00036644			ARG BOL BRA COL GUF PAN PER PRY VEN	text	native		
ZOBO00036649			BOL PER VEN	text	native		
ZOBO00036645			CRI MEX NIC PER	text	native		
ZOBO00036646			GUF TTO	text	native		
ZOBO00036648			GTM MEX PER	text	native		
ZOBO00036639			GUF PER	text	native		
ZOBO00036635			BRA GUF PER	text	native		
ZOBO00036634			PER	text	native		
ZOBO00036637			BRA COL GUF PER	text	native		
ZOBO00036636			PER	text	native		
ZOBO00036629			GTM PER	text	native		
ZOBO00036632			PER	text	native		
ZOBO00036633			ARG BOL BRA COL ECU PER VEN	text	native		
ZOBO00036624			ARG BOL BRA ECU PER	text	native		
ZOBO00036627			PER	text	native		
ZOBO00036628			GUF	text	native		
ZOBO00036619			BRA	text	native		
ZOBO00036622			ECU PER	text	native		
ZOBO00036615			BOL PER	text	native		
ZOBO00036616			BOL BRA	text	native		
ZOBO00036617			CRI ECU GTM HRV MEX PER SLV	text	native		
ZOBO00036618			BRA GUF PER	text	native		
ZOBO00036680			BOL PER	text	native		
ZOBO00034794			BGR GRC TUR	text	native		
ZOBO00033839			USA	text	native		
ZOBO00033840			ITA	text	native		
ZOBO00033834			ESP	text	native		
ZOBO00033821			GRC	text	native		
ZOBO00033820			USA	text	native		
ZOBO00033811			ISR	text	native		
ZOBO00033807			ESP MAR TUN	text	native		
ZOBO00033809			BGR GR GRC	text	native		
ZOBO00010028			AUT BGR CZE ESP FRA GRC HUN ITA	text	native		
ZOBO00010027			AUT BGR DEU FRA GRC ITA	text	native		
ZOBO00010030			AUT BGR DEU FRA GRC ITA TUR	text	native		
ZOBO00010029			AUT BGR DEU HRV ITA TUR	text	native		
ZOBO00033830			ITA	text	native		
ZOBO00018087			AUT CZE DEU ESP FRA ITA TUN	text	native		
ZOBO00031722			BGR TUR	text	native		
ZOBO00037400			FRA	text	native		
ZOBO00037401			ESP	text	native		
ZOBO00037398			TUN	text	native		
ZOBO00037399			SCG TUR UKR	text	native		
ZOBO00037421			TUR	text	native		
ZOBO00035977			PER	text	native		
ZOBO00037447			PER	text	native		
ZOBO00033851			ARG ECU PER	text	native		
ZOBO00033878			PER	text	native		
ZOBO00033876			USA	text	native		
ZOBO00033872			MEX	text	native		
ZOBO00033866			PER	text	native		
ZOBO00035449			TZA	text	native		
ZOBO00039763			COD	text	native		
ZOBO00035404			YEM	text	native		
ZOBO00035414			CMR GIN	text	native		
ZOBO00035407			CMR GIN GMB SDN TGO YEM	text	native		
ZOBO00035425			CHL CMR COD GIN SEN TCD TGO	text	native		
ZOBO00035418			CMR GIN	text	native		
ZOBO00035444			KEN	text	native		
ZOBO00035390			CMR COD GIN GNB SDN TGO	text	native		
ZOBO00035391			CMR	text	native		
ZOBO00035386			COD KEN ZAF	text	native		
ZOBO00035388			TZA ZMB	text	native		
ZOBO00035389			COD ETH KEN MWI TGO TZA ZAF ZMB	text	native		
ZOBO00035401			AGO TZA	text	native		
ZOBO00035402			KEN	text	native		
ZOBO00035396			CMR GIN	text	native		
ZOBO00032522			KEN TZA	text	native		
ZOBO00032535			BEN CMR GIN TGO ZAF ZMB	text	native		
ZOBO00032490			KHM	text	native		
ZOBO00032491			CMR UGA ZAF	text	native		
ZOBO00032495			MWI NAM ZMB	text	native		
ZOBO00032492			CMR SDN TGO	text	native		
ZOBO00032518			TZA	text	native		
ZOBO00032513			CHN JPN KOR	text	native		
ZOBO00032498			CHN THA	text	native		
ZOBO00032510			PHL	text	native		
ZOBO00032502			CHN TWN	text	native		
ZOBO00032500			THA	text	native		
ZOBO00032496			IDN MYS	text	native		
ZOBO00032524			MDG	text	native		
ZOBO00032521			MWI TZA ZAF ZMB	text	native		
ZOBO00032528			ZAF	text	native		
ZOBO00032527			TGO	text	native		
ZOBO00032526			PAK	text	native		
ZOBO00032914			AUS PNG	text	native		
ZOBO00032915			IDN	text	native		
ZOBO00032912			MDG	text	native		
ZOBO00032904			IDN	text	native		
ZOBO00032658			IDN	text	native		
ZOBO00032662			PHL	text	native		
ZOBO00032660			CHN LAO	text	native		
ZOBO00063725			CMR TGO	text	native		
ZOBO00039737			TZA	text	native		
ZOBO00039764			CMR ZAF	text	native		
ZOBO00037462			TZA	text	native		
ZOBO00037461			TZA	text	native		
ZOBO00037456			KEN	text	native		
ZOBO00037458			KEN	text	native		
ZOBO00037457			KEN	text	native		
ZOBO00037460			KEN	text	native		
ZOBO00037459			ESP KEN	text	native		
ZOBO00037423			KEN TZA	text	native		
ZOBO00030390			CMR	text	native		
ZOBO00033798			BWA TZA ZMB	text	native		
ZOBO00033796			CMR COD SEN ZMB	text	native		
ZOBO00033791			AUT CIV CMR GIN KEN TGO TZA ZAF ZMB	text	native		
ZOBO00033790			CHL COD GIN KEN TZA ZMB	text	native		
ZOBO00033806			KEN TZA	text	native		
ZOBO00033805			CHL	text	native		
ZOBO00033799			AND CHL CMR GHA TGO	text	native		
ZOBO00033803			ZAF	text	native		
ZOBO00062796			PHL	text	native		
ZOBO00037416			HKG	text	native		
ZOBO00032160			HKG JPN	text	native		
ZOBO00032155			CHN IDN IND MYS NPL PAK SGP THA TWN	text	native		
ZOBO00032169			THA	text	native		
ZOBO00032166			MDV	text	native		
ZOBO00032165			IDN	text	native		
ZOBO00032523			MYS	text	native		
ZOBO00035059			PHL	text	native		
ZOBO00035069			MYS SGP THA	text	native		
ZOBO00035070			IDN MYS THA	text	native		
ZOBO00035072			IDN	text	native		
ZOBO00035082			IND	text	native		
ZOBO00154116			THA	text	native		
ZOBO00037228			PHL	text	native		
ZOBO00037507			MYS	text	native		
ZOBO00037214			PHL	text	native		
ZOBO00032252			IDN	text	native		
ZOBO00035338			TWN	text	native		
ZOBO00035334			THA	text	native		
ZOBO00035335			IDN	text	native		
ZOBO00035336			PHL	text	native		
ZOBO00035339			ZAF	text	native		
ZOBO00035344			IND MYS NPL SYC THA UZB	text	native		
ZOBO00035343			CMR GIN TGO	text	native		
ZOBO00033770			AUT PNG	text	native		
ZOBO00037445			TZA	text	native		
ZOBO00034175			KEN TZA	text	native		
ZOBO00034170			CHL CMR GIN	text	native		
ZOBO00034172			AGO BWA CMR COD ESP ETH KEN NAM TZA ZMB	text	native		
ZOBO00034167			ZAF	text	native		
ZOBO00034168			CIV	text	native		
ZOBO00034169			ZAF	text	native		
ZOBO00037302			IDN	text	native		
ZOBO00032928			IND THA	text	native		
ZOBO00032927			IDN	text	native		
ZOBO00032924			PHL	text	native		
ZOBO00037365			THA	text	native		
ZOBO00033171			SYR TKM YEM	text	native		
ZOBO00033163			MAR TUN	text	native		
ZOBO00033109			MWI NAM TZA ZAF ZMB	text	native		
ZOBO00033281			NAM ZAF	text	native		
ZOBO00033268			ISR	text	native		
ZOBO00033243			ETH MAR	text	native		
ZOBO00033247			CMR KEN SDN SEN TUN	text	native		
ZOBO00033248			EGY	text	native		
ZOBO00154104			JOR	text	native		
ZOBO00018099			AUT CHE DEU FRA	text	native		
ZOBO00018098			AUT BGR CHE KAZ TUR	text	native		
ZOBO00010057			AUT AZE BGR CHE CZE DEU ESP HUN ITA KAZ KGZ RUS	text	native		
ZOBO00010056			AUT BGR CZE DEU FRA GRC ITA JOR LUX TUR	text	native		
ZOBO00010059			AUT BGR CHE CZE DEU FRA ITA RUS SVK	text	native		
ZOBO00010058			AUT DEU	text	native		
ZOBO00010055			AUT ITA RUS	text	native		
ZOBO00010054			AUT BGR CHE CZE DEU FRA ITA PAK SVK	text	native		
ZOBO00010060			AUT GRC	text	native		
